date,account,env,service,region,usage_qty,unit,unblended_cost,avg_cpu,p95_cpu,tag_team
2024-01-03,acct-dev-1,dev,Lambda,us-east-1,172.4990262980184,GB,43.33,,,TeamC
2024-01-03,acct-dev-1,dev,Lambda,us-west-2,268.4649952451444,GB,38.79,,,TeamC
2024-01-04,acct-prod-1,prod,EC2,us-east-1,548.6929222808501,Hrs,180.29,0.62,0.78,TeamC
2024-01-04,acct-prod-1,prod,EC2,us-west-2,635.7834401934181,Hrs,211.94,0.77,0.88,TeamA
2024-01-04,acct-prod-1,prod,RDS,us-east-1,303.47990382751544,Hrs,83.32,0.66,0.86,TeamA
2024-01-04,acct-prod-1,prod,RDS,us-west-2,262.71788584061943,Hrs,81.73,0.8,0.86,TeamC
2024-01-04,acct-prod-1,prod,S3,us-east-1,518.0799973210653,GB,86.25,,,TeamA
2024-01-04,acct-prod-1,prod,S3,us-west-2,245.74999651089846,GB,86.26,,,TeamB
2024-01-04,acct-prod-1,prod,Lambda,us-east-1,81.84313917128503,GB,38.15,,,TeamB
2024-01-04,acct-prod-1,prod,Lambda,us-west-2,167.2434351363749,GB,47.21,,,TeamA
2024-01-04,acct-prod-1,dev,EC2,us-east-1,638.1914733780711,Hrs,182.19,0.35,0.48,TeamA
2024-01-04,acct-prod-1,dev,EC2,us-west-2,627.40242802173,Hrs,237.95,0.48,0.57,TeamA
2024-01-04,acct-prod-1,dev,RDS,us-east-1,231.25749904154463,Hrs,107.39,0.68,0.87,TeamA
2024-01-04,acct-prod-1,dev,RDS,us-west-2,220.96493258745207,Hrs,104.54,0.71,0.76,TeamC
2024-01-04,acct-prod-1,dev,S3,us-east-1,264.11324082977296,GB,77.16,,,TeamC
2024-01-04,acct-prod-1,dev,S3,us-west-2,272.68322163828174,GB,68.81,,,TeamB
2024-01-04,acct-prod-1,dev,Lambda,us-east-1,360.9642703953323,GB,45.27,,,TeamA
2024-01-04,acct-prod-1,dev,Lambda,us-west-2,315.2758009350886,GB,38.64,,,TeamB
2024-01-04,acct-dev-1,prod,EC2,us-east-1,538.3909311097462,Hrs,215.34,0.74,0.88,TeamA
2024-01-04,acct-dev-1,prod,EC2,us-west-2,1184.186978722174,Hrs,235.58,0.42,0.48,TeamC
2024-01-04,acct-dev-1,prod,RDS,us-east-1,201.62117771768806,Hrs,90.99,0.63,0.69,TeamC
2024-01-04,acct-dev-1,prod,RDS,us-west-2,274.37835422387906,Hrs,84.54,0.64,0.77,TeamA
2024-01-04,acct-dev-1,prod,S3,us-east-1,181.20258668703477,GB,81.66,,,TeamA
2024-01-04,acct-dev-1,prod,S3,us-west-2,309.0013663156119,GB,82.88,,,TeamA
2024-01-04,acct-dev-1,prod,Lambda,us-east-1,226.39415913432697,GB,41.92,,,TeamB
2024-01-04,acct-dev-1,prod,Lambda,us-west-2,122.00446439112697,GB,41.88,,,TeamB
2024-01-04,acct-dev-1,dev,EC2,us-east-1,414.54334772378047,Hrs,191.38,0.34,0.47,TeamC
2024-01-04,acct-dev-1,dev,EC2,us-west-2,430.89194001507957,Hrs,191.72,0.76,0.84,TeamA
2024-01-04,acct-dev-1,dev,RDS,us-east-1,351.4300712037733,Hrs,99.68,0.79,0.91,TeamA
2024-01-04,acct-dev-1,dev,RDS,us-west-2,373.43951618857346,Hrs,88.37,0.48,0.6,TeamC
2024-01-04,acct-dev-1,dev,S3,us-east-1,446.497679453417,GB,76.81,,,TeamA
2024-01-04,acct-dev-1,dev,S3,us-west-2,252.5651117781621,GB,92.7,,,TeamB
2024-01-04,acct-dev-1,dev,Lambda,us-east-1,97.10610658818744,GB,41.63,,,TeamB
2024-01-04,acct-dev-1,dev,Lambda,us-west-2,269.0963440700263,GB,36.46,,,TeamA
2024-01-05,acct-prod-1,prod,EC2,us-east-1,442.9969003121125,Hrs,202.75,0.19,0.29,TeamC
2024-01-05,acct-prod-1,prod,EC2,us-west-2,464.5885032637224,Hrs,163.14,0.16,0.34,TeamC
2024-01-05,acct-prod-1,prod,RDS,us-east-1,3983.1929904517256,Hrs,532.98,0.52,0.72,TeamC
2024-01-05,acct-prod-1,prod,RDS,us-west-2,273.0157300043895,Hrs,94.82,0.36,0.48,TeamA
2024-01-05,acct-prod-1,prod,S3,us-east-1,430.6447893315349,GB,65.99,,,TeamC
2024-01-05,acct-prod-1,prod,S3,us-west-2,296.14186608277805,GB,92.65,,,TeamA
2024-01-05,acct-prod-1,prod,Lambda,us-east-1,177.2172570262808,GB,45.88,,,TeamA
2024-01-05,acct-prod-1,prod,Lambda,us-west-2,134.5219952518785,GB,43.8,,,TeamA
2024-01-05,acct-prod-1,dev,EC2,us-east-1,1196.1462879479259,Hrs,176.92,0.72,0.86,TeamB
2024-01-05,acct-prod-1,dev,EC2,us-west-2,1655.6861294643122,Hrs,223.13,0.48,0.61,TeamA
2024-01-05,acct-prod-1,dev,RDS,us-east-1,436.5430869071249,Hrs,102.58,0.73,0.87,TeamC
2024-01-05,acct-prod-1,dev,RDS,us-west-2,275.31737001428104,Hrs,94.24,0.27,0.33,TeamB
2024-01-05,acct-prod-1,dev,S3,us-east-1,171.89819612054066,GB,75.69,,,TeamB
2024-01-05,acct-prod-1,dev,S3,us-west-2,159.41151483099512,GB,73.12,,,TeamC
2024-01-05,acct-prod-1,dev,Lambda,us-east-1,334.96388610597853,GB,167.11,,,TeamB
2024-01-05,acct-prod-1,dev,Lambda,us-west-2,85.98261878870824,GB,38.37,,,TeamB
2024-01-05,acct-dev-1,prod,EC2,us-east-1,611.5899063169402,Hrs,238.01,0.67,0.83,TeamC
2024-01-05,acct-dev-1,prod,EC2,us-west-2,504.48857579000986,Hrs,205.73,0.23,0.33,TeamC
2024-01-05,acct-dev-1,prod,RDS,us-east-1,282.04591479751326,Hrs,87.98,0.6,0.76,TeamB
2024-01-05,acct-dev-1,prod,RDS,us-west-2,353.04290037905326,Hrs,103.25,0.47,0.53,TeamB
2024-01-05,acct-dev-1,prod,S3,us-east-1,245.7579622541023,GB,78.54,,,TeamB
2024-01-05,acct-dev-1,prod,S3,us-west-2,368.1596118825394,GB,74.32,,,TeamA
2024-01-05,acct-dev-1,prod,Lambda,us-east-1,110.77458523372673,GB,32.04,,,TeamB
2024-01-05,acct-dev-1,prod,Lambda,us-west-2,81.78995579410717,GB,38.59,,,TeamB
2024-01-05,acct-dev-1,dev,EC2,us-east-1,464.26344741456205,Hrs,219.68,0.79,0.87,TeamC
2024-01-05,acct-dev-1,dev,EC2,us-west-2,501.2889406172396,Hrs,165.32,0.69,0.76,TeamA
2024-01-05,acct-dev-1,dev,RDS,us-east-1,255.82906969455146,Hrs,110.02,0.23,0.32,TeamB
2024-01-05,acct-dev-1,dev,RDS,us-west-2,223.83465349911037,Hrs,100.92,0.37,0.55,TeamC
2024-01-05,acct-dev-1,dev,S3,us-east-1,248.37228332737354,GB,86.84,,,TeamA
2024-01-05,acct-dev-1,dev,S3,us-west-2,455.8336033587333,GB,87.92,,,TeamA
2024-01-05,acct-dev-1,dev,Lambda,us-east-1,302.1273216443851,GB,38.26,,,TeamC
2024-01-05,acct-dev-1,dev,Lambda,us-west-2,174.52164969294384,GB,40.69,,,TeamC
2024-01-06,acct-prod-1,prod,EC2,us-east-1,447.2891341422576,Hrs,186.79,0.53,0.66,TeamC
2024-01-06,acct-prod-1,prod,EC2,us-west-2,513.3964166348028,Hrs,205.85,0.59,0.76,TeamA
2024-01-06,acct-prod-1,prod,RDS,us-east-1,200.85090516538912,Hrs,81.34,0.71,0.82,TeamB
2024-01-06,acct-prod-1,prod,RDS,us-west-2,358.7666994023981,Hrs,101.46,0.52,0.65,TeamA
2024-01-06,acct-prod-1,prod,S3,us-east-1,194.6492866458029,GB,79.56,,,TeamC
2024-01-06,acct-prod-1,prod,S3,us-west-2,266.5387858340277,GB,84.52,,,TeamC
2024-01-06,acct-prod-1,prod,Lambda,us-east-1,85.9840723324149,GB,41.58,,,TeamB
2024-01-06,acct-prod-1,prod,Lambda,us-west-2,165.6239712267633,GB,35.64,,,TeamC
2024-01-06,acct-prod-1,dev,EC2,us-east-1,569.7535796657195,Hrs,172.27,0.53,0.58,TeamC
2024-01-06,acct-prod-1,dev,EC2,us-west-2,619.4719760503629,Hrs,234.57,0.75,0.9,TeamB
2024-01-06,acct-prod-1,dev,RDS,us-east-1,868.9430867599116,Hrs,110.85,0.15,0.22,TeamA
2024-01-06,acct-prod-1,dev,RDS,us-west-2,805.4135700832823,Hrs,117.02,0.79,0.97,TeamB
2024-01-06,acct-prod-1,dev,S3,us-east-1,404.3130861904148,GB,90.8,,,TeamC
2024-01-06,acct-prod-1,dev,S3,us-west-2,680.2103954449807,GB,82.92,,,TeamA
2024-01-06,acct-prod-1,dev,Lambda,us-east-1,103.33954229341474,GB,35.29,,,TeamC
2024-01-06,acct-prod-1,dev,Lambda,us-west-2,81.99879232771224,GB,38.37,,,TeamB
2024-01-06,acct-dev-1,prod,EC2,us-east-1,422.04461494165315,Hrs,197.26,0.51,0.57,TeamC
2024-01-06,acct-dev-1,prod,EC2,us-west-2,572.1403562162934,Hrs,171.27,0.39,0.58,TeamA
2024-01-06,acct-dev-1,prod,RDS,us-east-1,591.472492127218,Hrs,111.22,0.25,0.38,TeamA
2024-01-06,acct-dev-1,prod,RDS,us-west-2,445.52555523633606,Hrs,118.44,0.16,0.36,TeamA
2024-01-06,acct-dev-1,prod,S3,us-east-1,284.1997907184614,GB,73.59,,,TeamC
2024-01-06,acct-dev-1,prod,S3,us-west-2,388.43561782581304,GB,70.72,,,TeamA
2024-01-06,acct-dev-1,prod,Lambda,us-east-1,96.63394046774899,GB,42.0,,,TeamC
2024-01-06,acct-dev-1,prod,Lambda,us-west-2,117.48849333963612,GB,33.05,,,TeamB
2024-01-06,acct-dev-1,dev,EC2,us-east-1,678.5583270137789,Hrs,202.76,0.64,0.7,TeamA
2024-01-06,acct-dev-1,dev,EC2,us-west-2,794.7524386699155,Hrs,166.04,0.73,0.86,TeamA
2024-01-06,acct-dev-1,dev,RDS,us-east-1,209.6733524189453,Hrs,81.02,0.56,0.62,TeamC
2024-01-06,acct-dev-1,dev,RDS,us-west-2,298.32760536001985,Hrs,90.16,0.52,0.62,TeamA
2024-01-06,acct-dev-1,dev,S3,us-east-1,357.00475258603007,GB,69.71,,,TeamB
2024-01-06,acct-dev-1,dev,S3,us-west-2,263.0401789972629,GB,89.77,,,TeamB
2024-01-06,acct-dev-1,dev,Lambda,us-east-1,123.30969108763945,GB,45.28,,,TeamA
2024-01-06,acct-dev-1,dev,Lambda,us-west-2,285.68876770733544,GB,38.5,,,TeamB
2024-01-07,acct-prod-1,prod,EC2,us-east-1,1508.3295917361404,Hrs,166.84,0.23,0.36,TeamB
2024-01-07,acct-prod-1,prod,EC2,us-west-2,977.5555592542647,Hrs,231.41,0.28,0.39,TeamC
2024-01-07,acct-prod-1,prod,RDS,us-east-1,341.77670661737335,Hrs,81.37,0.64,0.75,TeamA
2024-01-07,acct-prod-1,prod,RDS,us-west-2,226.3666775350213,Hrs,91.78,0.2,0.38,TeamC
2024-01-07,acct-prod-1,prod,S3,us-east-1,342.949565757802,GB,92.63,,,TeamC
2024-01-07,acct-prod-1,prod,S3,us-west-2,211.83273531835616,GB,80.4,,,TeamA
2024-01-07,acct-prod-1,prod,Lambda,us-east-1,83.24545150826646,GB,36.13,,,TeamB
2024-01-07,acct-prod-1,prod,Lambda,us-west-2,193.42559861327348,GB,40.41,,,TeamC
2024-01-07,acct-prod-1,dev,EC2,us-east-1,530.0356114467215,Hrs,225.81,0.45,0.51,TeamA
2024-01-07,acct-prod-1,dev,EC2,us-west-2,1161.830331931837,Hrs,212.11,0.11,0.18,TeamA
2024-01-07,acct-prod-1,dev,RDS,us-east-1,452.63822886916415,Hrs,90.66,0.54,0.67,TeamB
2024-01-07,acct-prod-1,dev,RDS,us-west-2,460.31189319385294,Hrs,116.58,0.46,0.52,TeamB
2024-01-07,acct-prod-1,dev,S3,us-east-1,256.7451769545666,GB,87.62,,,TeamB
2024-01-07,acct-prod-1,dev,S3,us-west-2,240.7764354334853,GB,66.18,,,TeamA
2024-01-07,acct-prod-1,dev,Lambda,us-east-1,90.77019717718889,GB,43.54,,,TeamC
2024-01-07,acct-prod-1,dev,Lambda,us-west-2,108.4366703644619,GB,42.62,,,TeamA
2024-01-07,acct-dev-1,prod,EC2,us-east-1,1101.8615363191666,Hrs,181.59,0.69,0.87,TeamC
2024-01-07,acct-dev-1,prod,EC2,us-west-2,508.72990633059936,Hrs,207.75,0.17,0.24,TeamA
2024-01-07,acct-dev-1,prod,RDS,us-east-1,284.43159322135597,Hrs,96.51,0.42,0.48,TeamB
2024-01-07,acct-dev-1,prod,RDS,us-west-2,536.1374988226814,Hrs,111.98,0.51,0.62,TeamC
2024-01-07,acct-dev-1,prod,S3,us-east-1,194.44911066467623,GB,93.35,,,TeamC
2024-01-07,acct-dev-1,prod,S3,us-west-2,166.94994992519193,GB,80.68,,,TeamC
2024-01-07,acct-dev-1,prod,Lambda,us-east-1,120.25857807229342,GB,43.72,,,TeamB
2024-01-07,acct-dev-1,prod,Lambda,us-west-2,91.46226198174423,GB,42.2,,,TeamC
2024-01-07,acct-dev-1,dev,EC2,us-east-1,585.5254009715408,Hrs,215.45,0.13,0.27,TeamA
2024-01-07,acct-dev-1,dev,EC2,us-west-2,374.1908605414567,Hrs,174.45,0.12,0.28,TeamA
2024-01-07,acct-dev-1,dev,RDS,us-east-1,326.394894986456,Hrs,87.7,0.66,0.82,TeamC
2024-01-07,acct-dev-1,dev,RDS,us-west-2,274.4567522910677,Hrs,98.21,0.56,0.66,TeamA
2024-01-07,acct-dev-1,dev,S3,us-east-1,281.68046846563226,GB,66.46,,,TeamC
2024-01-07,acct-dev-1,dev,S3,us-west-2,182.50762562564583,GB,76.94,,,TeamA
2024-01-07,acct-dev-1,dev,Lambda,us-east-1,138.23762064101237,GB,42.59,,,TeamA
2024-01-07,acct-dev-1,dev,Lambda,us-west-2,381.3200783676817,GB,41.85,,,TeamB
2024-01-08,acct-prod-1,prod,EC2,us-east-1,3355.050980399177,Hrs,850.79,0.75,0.81,TeamB
2024-01-08,acct-prod-1,prod,EC2,us-west-2,721.1536579658784,Hrs,188.06,0.44,0.58,TeamC
2024-01-08,acct-prod-1,prod,RDS,us-east-1,409.0054891778107,Hrs,95.93,0.47,0.63,TeamA
2024-01-08,acct-prod-1,prod,RDS,us-west-2,392.8371071194121,Hrs,84.42,0.31,0.39,TeamA
2024-01-08,acct-prod-1,prod,S3,us-east-1,617.3528755399119,GB,72.87,,,TeamC
2024-01-08,acct-prod-1,prod,S3,us-west-2,407.3562157539234,GB,76.3,,,TeamB
2024-01-08,acct-prod-1,prod,Lambda,us-east-1,133.46730481912127,GB,44.77,,,TeamC
2024-01-08,acct-prod-1,prod,Lambda,us-west-2,160.53037315442023,GB,46.07,,,TeamA
2024-01-08,acct-prod-1,dev,EC2,us-east-1,1897.9770681031189,Hrs,239.13,0.38,0.56,TeamB
2024-01-08,acct-prod-1,dev,EC2,us-west-2,1085.0428844531132,Hrs,208.62,0.22,0.31,TeamA
2024-01-08,acct-prod-1,dev,RDS,us-east-1,281.43848259088645,Hrs,118.29,0.54,0.62,TeamA
2024-01-08,acct-prod-1,dev,RDS,us-west-2,690.67824859704,Hrs,117.11,0.38,0.54,TeamB
2024-01-08,acct-prod-1,dev,S3,us-east-1,336.0153223424055,GB,95.88,,,TeamA
2024-01-08,acct-prod-1,dev,S3,us-west-2,211.0534829735157,GB,71.16,,,TeamB
2024-01-08,acct-prod-1,dev,Lambda,us-east-1,178.4317956164743,GB,45.76,,,TeamC
2024-01-08,acct-prod-1,dev,Lambda,us-west-2,70.65109360074783,GB,34.07,,,TeamB
2024-01-08,acct-dev-1,prod,EC2,us-east-1,701.6270756396823,Hrs,224.76,0.16,0.27,TeamC
2024-01-08,acct-dev-1,prod,EC2,us-west-2,1342.1635342810114,Hrs,160.41,0.47,0.67,TeamA
2024-01-08,acct-dev-1,prod,RDS,us-east-1,929.1562538046315,Hrs,115.78,0.72,0.85,TeamC
2024-01-08,acct-dev-1,prod,RDS,us-west-2,304.3784268340494,Hrs,112.99,0.5,0.59,TeamB
2024-01-08,acct-dev-1,prod,S3,us-east-1,407.24150381693437,GB,80.68,,,TeamC
2024-01-08,acct-dev-1,prod,S3,us-west-2,211.0218247480784,GB,91.75,,,TeamA
2024-01-08,acct-dev-1,prod,Lambda,us-east-1,123.50343298661396,GB,46.88,,,TeamC
2024-01-08,acct-dev-1,prod,Lambda,us-west-2,161.10456608652996,GB,46.11,,,TeamC
2024-01-08,acct-dev-1,dev,EC2,us-east-1,965.8949562111505,Hrs,226.07,0.62,0.69,TeamB
2024-01-08,acct-dev-1,dev,EC2,us-west-2,2209.274761509249,Hrs,226.57,0.3,0.44,TeamA
2024-01-08,acct-dev-1,dev,RDS,us-east-1,408.46709064407474,Hrs,102.39,0.11,0.28,TeamB
2024-01-08,acct-dev-1,dev,RDS,us-west-2,899.9813926876545,Hrs,392.44,0.37,0.45,TeamA
2024-01-08,acct-dev-1,dev,S3,us-east-1,179.3403761671791,GB,67.28,,,TeamB
2024-01-08,acct-dev-1,dev,S3,us-west-2,230.93776543392386,GB,94.31,,,TeamA
2024-01-08,acct-dev-1,dev,Lambda,us-east-1,118.59568040746193,GB,41.31,,,TeamC
2024-01-08,acct-dev-1,dev,Lambda,us-west-2,123.2075031214317,GB,45.64,,,TeamC
2024-01-09,acct-prod-1,prod,EC2,us-east-1,1551.4841476070299,Hrs,170.41,0.12,0.21,TeamC
